"FTM Limite diffraction_x","FTM Limite diffraction_y","0.0_x","0.0_y","0.5_x","0.5_y","1.0_x","1.0_y","1.5_x","1.5_y"
2.163571196,0.8458394225,7.8125,0.27834287,7.8125,0.4238870083,7.8125,0.4188084575,7.8125,0.2996091894,
2.190615836,0.8439228494,7.91015625,0.2738484686,7.91015625,0.4188958229,7.91015625,0.4144148315,7.91015625,0.2959680476,
2.217660476,0.8420066666,8.0078125,0.2693630416,8.0078125,0.4138803698,8.0078125,0.4101226663,8.0078125,0.2925409993,
2.244705116,0.840090879,8.10546875,0.2648387688,8.10546875,0.4088030359,8.10546875,0.4058872831,8.10546875,0.2892782744,
2.271749756,0.8381754914,8.203125,0.2602333128,8.203125,0.4036311797,8.203125,0.4016662264,8.203125,0.2861297076,
2.298794396,0.8362605089,8.30078125,0.2555118429,8.30078125,0.3983386155,8.30078125,0.3974212129,8.30078125,0.2830470315,
2.325839036,0.8343459362,8.3984375,0.2506487676,8.3984375,0.3929067802,8.3984375,0.3931198489,8.3984375,0.2799860865,
2.352883675,0.8324317784,8.49609375,0.2456290744,8.49609375,0.3873255308,8.49609375,0.3887370341,8.49609375,0.2769088339,
2.379928315,0.8305180404,8.59375,0.2404491756,8.59375,0.3815935339,8.59375,0.3842559783,8.59375,0.2737850572,
2.406972955,0.8286047271,8.69140625,0.2351171647,8.69140625,0.3757182224,8.69140625,0.3796687704,8.69140625,0.2705936489,
2.434017595,0.8266918433,8.7890625,0.2296524236,8.7890625,0.3697153154,8.7890625,0.3749764601,8.7890625,0.2673233987,
2.461062235,0.8247793942,8.88671875,0.2240845626,8.88671875,0.3636079202,8.88671875,0.3701886396,8.88671875,0.2639732285,
2.488106875,0.8228673845,8.984375,0.2184517326,8.984375,0.3574252592,8.984375,0.3653225421,8.984375,0.2605518542,
2.515151515,0.8209558193,9.08203125,0.2127984139,9.08203125,0.3512010911,9.08203125,0.3604017054,9.08203125,0.2570768929,
2.542196155,0.8190447034,9.1796875,0.2071728452,9.1796875,0.3449719192,9.1796875,0.3554542824,9.1796875,0.2535734712,
2.569240795,0.8171340419,9.27734375,0.2016243055,9.27734375,0.3387750967,9.27734375,0.3505111056,9.27734375,0.2500724281,
2.596285435,0.8152238396,9.375,0.1962004862,9.375,0.3326469516,9.375,0.3456036324,9.375,0.2466082284,
2.623330075,0.8133141016,9.47265625,0.1909451868,9.47265625,0.3266210507,9.47265625,0.3407619093,9.47265625,0.2432167286,
2.650374715,0.8114048328,9.5703125,0.1858965236,9.5703125,0.3207267139,9.5703125,0.3360126879,9.5703125,0.2399329338,
2.677419355,0.8094960382,9.66796875,0.1810857696,9.66796875,0.3149878635,9.66796875,0.3313778143,9.66796875,0.2367888875,
2.704463995,0.8075877227,9.765625,0.1765368378,9.765625,0.3094222649,9.765625,0.3268729861,9.765625,0.2338118082,
2.731508635,0.8056798913,9.86328125,0.172266323,9.86328125,0.3040411731,9.86328125,0.3225069387,9.86328125,0.2310225649,
2.758553275,0.8037725489,9.9609375,0.1682839244,9.9609375,0.2988493657,9.9609375,0.3182810858,9.9609375,0.2284345481,
2.785597915,0.8018657007,10.05859375,0.1645930318,10.05859375,0.2938455108,10.05859375,0.3141896041,10.05859375,0.2260529595,
2.812642555,0.7999593515,10.15625,0.1611912618,10.15625,0.2890227944,10.15625,0.3102199221,10.15625,0.2238745171,
2.839687195,0.7980535064,10.25390625,0.1580707975,10.25390625,0.2843697272,10.25390625,0.3063535533,10.25390625,0.2218875536,
2.866731834,0.7961481703,10.3515625,0.1552184896,10.3515625,0.2798710494,10.3515625,0.3025672006,10.3515625,0.2200724755,
2.893776474,0.7942433482,10.44921875,0.1526157939,10.44921875,0.2755086728,10.44921875,0.298834059,10.44921875,0.2184025505,
2.920821114,0.7923390452,10.546875,0.1502387198,10.546875,0.2712626119,10.546875,0.2951252455,10.546875,0.2168449905,
2.947865754,0.7904352662,10.64453125,0.1480580163,10.64453125,0.2671118819,10.64453125,0.2914112932,10.64453125,0.2153623023,
2.974910394,0.7885320163,10.7421875,0.14603981,10.7421875,0.2630353537,10.7421875,0.28766365,10.7421875,0.2139138692,
3.001955034,0.7866293005,10.83984375,0.1441468307,10.83984375,0.259012565,10.83984375,0.2838561298,10.83984375,0.2124577227,
3.028999674,0.7847271238,10.9375,0.1423402412,10.9375,0.2550244879,10.9375,0.2799662613,10.9375,0.2109524409,
3.056044314,0.7828254912,11.03515625,0.140581953,11.03515625,0.2510542431,11.03515625,0.2759764808,11.03515625,0.2093590951,
3.083088954,0.7809244077,11.1328125,0.1388371909,11.1328125,0.2470877403,11.1328125,0.2718751105,11.1328125,0.2076431449,
