"FTM Limite diffraction_x","FTM Limite diffraction_y","4.2_x","4.2_y","4.4_x","4.4_y","4.6_x","4.6_y"
1.933528837,0.8669460842,5.66015625,0.4767397394,5.66015625,0.5002097285,5.66015625,0.4251604766,
1.961550994,0.8650255411,5.7421875,0.4698214352,5.7421875,0.4930835374,5.7421875,0.4173452478,
1.989573151,0.8631053344,5.82421875,0.4630382368,5.82421875,0.4861489531,5.82421875,0.4096811232,
2.017595308,0.8611854692,5.90625,0.456490331,5.90625,0.4794857793,5.90625,0.402340806,
2.045617465,0.8592659502,5.98828125,0.4502666789,5.98828125,0.473157959,5.98828125,0.3954805506,
2.073639622,0.8573467823,6.0703125,0.4444408674,6.0703125,0.4672108441,6.0703125,0.3892332471,
2.101661779,0.8554279705,6.15234375,0.4390679289,6.15234375,0.4616698248,6.15234375,0.3837031828,
2.129683936,0.8535095195,6.234375,0.4341822333,6.234375,0.4565402737,6.234375,0.3789626225,
2.157706093,0.8515914344,6.31640625,0.4297964776,6.31640625,0.4518086332,6.31640625,0.3750501592,
2.18572825,0.8496737199,6.3984375,0.4259017309,6.3984375,0.4474443873,6.3984375,0.3719706355,
2.213750407,0.8477563809,6.48046875,0.4224684439,6.48046875,0.4434026283,6.48046875,0.3696963557,
2.241772564,0.8458394225,6.5625,0.4194483036,6.5625,0.4396269477,6.5625,0.3681693119,
2.269794721,0.8439228494,6.64453125,0.4167768043,6.64453125,0.4360524464,6.64453125,0.3673042166,
2.297816878,0.8420066666,6.7265625,0.4143764036,6.7265625,0.4326087388,6.7265625,0.3669922358,
2.325839036,0.840090879,6.80859375,0.4121601392,6.80859375,0.4292228996,6.80859375,0.3671053994,
2.353861193,0.8381754914,6.890625,0.4100355757,6.890625,0.4258223567,6.890625,0.3675016999,
2.38188335,0.8362605089,6.97265625,0.4079089467,6.97265625,0.4223377462,6.97265625,0.3680308647,
2.409905507,0.8343459362,7.0546875,0.4056893371,7.0546875,0.4187057286,7.0546875,0.3685406995,
2.437927664,0.8324317784,7.13671875,0.4032927371,7.13671875,0.4148717183,7.13671875,0.3688837985,
2.465949821,0.8305180404,7.21875,0.4006457825,7.21875,0.4107924217,7.21875,0.3689243074,
2.493971978,0.8286047271,7.30078125,0.3976889948,7.30078125,0.4064380221,7.30078125,0.3685443558,
2.521994135,0.8266918433,7.3828125,0.3943793443,7.3828125,0.4017938159,7.3828125,0.3676497408,
2.550016292,0.8247793942,7.46484375,0.3906919851,7.46484375,0.396861095,7.46484375,0.3661744632,
2.578038449,0.8228673845,7.546875,0.3866210552,7.546875,0.3916570971,7.546875,0.3640837732,
2.606060606,0.8209558193,7.62890625,0.3821794876,7.62890625,0.3862139108,7.62890625,0.3613754733,
2.634082763,0.8190447034,7.7109375,0.3773978422,7.7109375,0.3805763125,7.7109375,0.3580793397,
2.66210492,0.8171340419,7.79296875,0.372322235,7.79296875,0.374798632,7.79296875,0.3542546495,
2.690127077,0.8152238396,7.875,0.367011506,7.875,0.368940867,7.875,0.349985938,
2.718149234,0.8133141016,7.95703125,0.36153382,7.95703125,0.363064384,7.95703125,0.3453772437,
2.746171391,0.8114048328,8.0390625,0.3559629377,8.0390625,0.357227632,8.0390625,0.3405452319,
