"FTM Limite diffraction_x","FTM Limite diffraction_y","7.0_x","7.0_y"
3.678071033,0.739249756,2.65625,0.8488820964,
3.705115673,0.7373627035,2.67578125,0.8470418413,
3.732160313,0.7354763225,2.6953125,0.8451977463,
3.759204953,0.7335906181,2.71484375,0.8433499502,
3.786249593,0.7317055955,2.734375,0.8414985909,
3.813294233,0.7298212599,2.75390625,0.8396438053,
3.840338873,0.7279376165,2.7734375,0.8377857288,
3.867383513,0.7260546704,2.79296875,0.835924496,
3.894428152,0.7241724269,2.8125,0.8340602398,
3.921472792,0.7222908912,2.83203125,0.8321930924,
3.948517432,0.7204100685,2.8515625,0.8303231844,
3.975562072,0.7185299639,2.87109375,0.8284506451,
4.002606712,0.7166505827,2.890625,0.8265756027,
4.029651352,0.7147719302,2.91015625,0.8246981839,
4.056695992,0.7128940116,2.9296875,0.8228185144,
4.083740632,0.7110168322,2.94921875,0.820936718,
4.110785272,0.7091403971,2.96875,0.8190529177,
4.137829912,0.7072647116,2.98828125,0.8171672348,
4.164874552,0.705389781,3.0078125,0.8152797892,
4.191919192,0.7035156107,3.02734375,0.8133906995,
4.218963832,0.7016422057,3.046875,0.8115000829,
4.246008472,0.6997695716,3.06640625,0.809608055,
4.273053112,0.6978977134,3.0859375,0.8077147301,
4.300097752,0.6960266366,3.10546875,0.805820221,
4.327142392,0.6941563465,3.125,0.8039246389,
4.354187032,0.6922868483,3.14453125,0.8020280938,
4.381231672,0.6904181474,3.1640625,0.8001306939,
4.408276312,0.6885502491,3.18359375,0.798232546,
4.435320951,0.6866831587,3.203125,0.7963337556,
4.462365591,0.6848168817,3.22265625,0.7944344262,
4.489410231,0.6829514233,3.2421875,0.7925346604,
4.516454871,0.6810867889,3.26171875,0.7906345586,
4.543499511,0.679222984,3.28125,0.7887342202,
4.570544151,0.6773600137,3.30078125,0.7868337427,
4.597588791,0.6754978837,3.3203125,0.7849332224,
4.624633431,0.6736365992,3.33984375,0.7830327536,
4.651678071,0.6717761656,3.359375,0.7811324294,
4.678722711,0.6699165884,3.37890625,0.7792323411,
4.705767351,0.6680578729,3.3984375,0.7773325788,
4.732811991,0.6662000247,3.41796875,0.7754332305,
4.759856631,0.6643430491,3.4375,0.7735343832,
4.786901271,0.6624869515,3.45703125,0.7716361219,
4.813945911,0.6606317375,3.4765625,0.7697385302,
4.840990551,0.6587774125,3.49609375,0.7678416903,
4.868035191,0.656923982,3.515625,0.7659456825,
4.895079831,0.6550714514,3.53515625,0.7640505859,
4.922124471,0.6532198262,3.5546875,0.7621564778,
4.94916911,0.651369112,3.57421875,0.760263434,
4.97621375,0.6495193142,3.59375,0.7583715289,
5.00325839,0.6476704383,3.61328125,0.7564808352,
5.03030303,0.6458224899,3.6328125,0.7545914241,
5.05734767,0.6439754746,3.65234375,0.7527033654,
5.08439231,0.6421293977,3.671875,0.7508167271,
5.11143695,0.640284265,3.69140625,0.7489315761,
5.13848159,0.638440082,3.7109375,0.7470479775,
5.16552623,0.6365968541,3.73046875,0.745165995,
5.19257087,0.6347545871,3.75,0.7432856907,
5.21961551,0.6329132865,3.76953125,0.7414071255,
5.24666015,0.6310729579,3.7890625,0.7395303587,
5.27370479,0.6292336069,3.80859375,0.737655448,
5.30074943,0.6273952392,3.828125,0.7357824498,
5.32779407,0.6255578603,3.84765625,0.7339114192,
5.35483871,0.6237214759,3.8671875,0.7320424098,
5.38188335,0.6218860917,3.88671875,0.7301754736,
5.40892799,0.6200517133,3.90625,0.7283106614,
5.43597263,0.6182183464,3.92578125,0.7264480228,
5.463017269,0.6163859967,3.9453125,0.7245876058,
5.490061909,0.6145546699,3.96484375,0.7227294571,
5.517106549,0.6127243716,3.984375,0.7208736221,
5.544151189,0.6108951076,4.00390625,0.7190201449,
5.571195829,0.6090668837,4.0234375,0.7171690684,
5.598240469,0.6072397055,4.04296875,0.7153204342,
5.625285109,0.6054135788,4.0625,0.7134742825,
5.652329749,0.6035885093,4.08203125,0.7116306523,
5.679374389,0.6017645029,4.1015625,0.7097895817,
5.706419029,0.5999415653,4.12109375,0.7079511071,
5.733463669,0.5981197023,4.140625,0.7061152642,
5.760508309,0.5962989197,4.16015625,0.7042820872,
5.787552949,0.5944792233,4.1796875,0.7024516093,
5.814597589,0.592660619,4.19921875,0.7006238626,
5.841642229,0.5908431125,4.21875,0.698798878,
5.868686869,0.5890267099,4.23828125,0.6969766855,
5.895731509,0.5872114168,4.2578125,0.6951573139,
5.922776149,0.5853972392,4.27734375,0.6933407911,
5.949820789,0.583584183,4.296875,0.6915271437,
5.976865428,0.581772254,4.31640625,0.6897163977,
6.003910068,0.5799614583,4.3359375,0.6879085779,
6.030954708,0.5781518016,4.35546875,0.6861037081,
6.057999348,0.57634329,4.375,0.6843018113,
6.085043988,0.5745359294,4.39453125,0.6825029097,
6.112088628,0.5727297258,4.4140625,0.6807070243,
6.139133268,0.5709246851,4.43359375,0.6789141756,
6.166177908,0.5691208134,4.453125,0.677124383,
6.193222548,0.5673181166,4.47265625,0.6753376652,
6.220267188,0.5655166007,4.4921875,0.6735540402,
6.247311828,0.5637162718,4.51171875,0.6717735251,
6.274356468,0.561917136,4.53125,0.6699961362,
6.301401108,0.5601191992,4.55078125,0.6682218894,
6.328445748,0.5583224676,4.5703125,0.6664507995,
6.355490388,0.5565269473,4.58984375,0.6646828809,
6.382535028,0.5547326442,4.609375,0.6629181473,
