M1\M2;TC = 0.03 s;SEN Auto;3;4;5
0.37;0.0008244;0.0006983;0.0006761;0.000697;0.0009093
0.38;0.0007581;0.0006511;0.0006321;0.0006651;0.0011028000000000001
0.39;0.0006996000000000001;0.0006256;0.000642;0.0006204;0.000754
0.4;0.0006586000000000001;0.0006113000000000001;0.0006133;0.0006693000000000001;0.0007601
0.41000000000000003;0.0005937000000000001;0.0005731;0.000604;0.0006246;0.0010803000000000002
0.42;0.0005409;0.0005638;0.00058;0.0006211000000000001;0.0007017000000000001
0.43;0.0005092;0.0004577;0.0005532;0.0006102;0.0006201000000000001
0.44;0.0005316;0.0004745;0.0005189;0.0005812;0.0006321
0.45;0.00044290000000000003;0.00047540000000000006;0.0005164;0.0005678;0.0006271
0.46;0.00047010000000000004;0.0004418;0.0005195999999999999;0.0005603;0.0006092000000000001
0.47000000000000003;0.0008006;0.00041530000000000007;0.000503;0.0005681;0.0006129999999999999
0.48;0.0004542;0.0004295;0.0004838;0.0005544;0.0006048
0.49;0.0005878;0.00042229999999999996;0.0005012;0.0005291;0.0005851
0.5;0.00041390000000000003;0.0004179;0.00045149999999999997;0.000558;0.0005506
0.51;0.0008194000000000001;0.000826;0.00043289999999999995;0.0005069;0.0005327
0.52;0.000421;0.000601;0.00042050000000000003;0.0005068000000000001;0.0005019
0.53;0.00019446;0.0005613;0.0004101;0.0005098;0.0004947
0.54;0.00040215000000000004;0.0004096;0.00039820000000000003;0.0004900999999999999;0.0004675
0.55;0.00033246;0.000602;0.00040970000000000004;0.00043420000000000004;0.00044219999999999996
0.56;0.00048437999999999997;0.00038040000000000003;0.000357;0.0004136;0.0004325
0.5700000000000001;0.00039711000000000005;0.000319;0.0003793;0.000439;0.00046550000000000004
0.58;0.00037152;0.000417;0.0003676;0.0003574;0.00044050000000000003
0.59;0.00045255;0.0003578;0.0003519;0.00042469999999999997;0.0004325
0.6;0.00044670000000000007;0.00019515;0.0003667;0.0004031;0.0004322
0.61;0.00012804;0.00034026;0.00036510000000000004;0.0004095;0.00038970000000000004
0.62;0.00031641000000000004;0.00032046;0.0003241;0.0003443;0.00039370000000000003
0.63;0.00037884;0.00033558000000000004;0.0003271;0.0003495;0.0003599
0.64;0.00032028000000000004;0.00029157;0.00032920000000000003;0.00036040000000000003;0.0004891
0.65;0.00030468000000000004;0.00028515;0.00031539999999999997;0.00034250000000000003;0.0003057
0.66;0.00032280000000000004;0.0003111;0.00031350000000000003;0.0003711;0.00048049999999999997
0.67;0.00031416;0.00030429;0.0002765;0.0003009;0.0002702
0.68;0.0002817;0.0003075;0.000277;0.0003133;0.0003902
0.6900000000000001;0.00031923000000000005;0.00031776;0.0003162;0.00034460000000000003;0.00031119000000000003
0.7000000000000001;0.00029319000000000003;0.00029403000000000003;0.000295;0.0003241;0.00034953
0.71;0.00027735000000000005;0.00029493;0.000292;0.0002755;0.00033831000000000003
0.72;0.00027048;0.0002841;0.00030230000000000003;0.0002963;0.00039963
0.73;0.00027288000000000003;0.00029649;0.00030540000000000005;0.00029340000000000003;9.213e-05
0.74;0.0002772;0.00025443000000000004;0.0002705;0.0002856;0.00032001
0.75;0.00028332;0.00027924000000000004;0.0002665;0.00029319999999999997;0.00033351
0.76;0.00027;0.00029016000000000003;0.00028317;0.00025939999999999996;0.00031116
0.77;0.00028182;0.00027096;0.00028281;0.00029410000000000005;0.00034418999999999997
0.78;0.00024522;0.00029163;0.00027195;0.00027840000000000005;0.0002646
0.79;0.00025716;0.00027018;0.00023793000000000002;0.0002592;0.00032187000000000003
0.8;0.00026241000000000003;0.00027462;0.00030642;0.0002839;0.00024501
