"FTM Limite diffraction_x","FTM Limite diffraction_y","1.5_x","1.5_y","2.0_x","2.0_y","2.5_x","2.5_y"
2.785597915,0.8018657007,10.05859375,0.2620635312,10.05859375,0.274122956,10.05859375,0.2028745463,
2.812642555,0.7999593515,10.15625,0.2573353612,10.15625,0.27071205,10.15625,0.1978091691,
2.839687195,0.7980535064,10.25390625,0.2523225842,10.25390625,0.2669070731,10.25390625,0.1923396056,
2.866731834,0.7961481703,10.3515625,0.2469788018,10.3515625,0.2627328611,10.3515625,0.1865687821,
2.893776474,0.7942433482,10.44921875,0.2412720877,10.44921875,0.2582346377,10.44921875,0.1806162089,
2.920821114,0.7923390452,10.546875,0.2351869714,10.546875,0.2534728524,10.546875,0.1746134014,
2.947865754,0.7904352662,10.64453125,0.2287254493,10.64453125,0.248518189,10.64453125,0.1686985839,
2.974910394,0.7885320163,10.7421875,0.2219070794,10.7421875,0.2434475602,10.7421875,0.1630109273,
3.001955034,0.7866293005,10.83984375,0.2147682723,10.83984375,0.2383416344,10.83984375,0.1576845891,
3.028999674,0.7847271238,10.9375,0.2073609106,10.9375,0.233284027,10.9375,0.1528428064,
3.056044314,0.7828254912,11.03515625,0.1997504371,11.03515625,0.2283617857,11.03515625,0.1485922527,
3.083088954,0.7809244077,11.1328125,0.1920135417,11.1328125,0.2236663006,11.1328125,0.1450178082,
3.110133594,0.7790238785,11.23046875,0.1842355599,11.23046875,0.2192933946,11.23046875,0.1421778544,
3.137178234,0.7771239085,11.328125,0.1765076719,11.328125,0.2153412277,11.328125,0.1401002105,
3.164222874,0.7752245028,11.42578125,0.168923974,11.42578125,0.2119049055,11.42578125,0.1387788987,
3.191267514,0.7733256664,11.5234375,0.1615784743,11.5234375,0.20906738,11.5234375,0.1381720299,
3.218312154,0.7714274044,11.62109375,0.1545620635,11.62109375,0.2068873091,11.62109375,0.138201185,
3.245356794,0.7695297218,11.71875,0.1479595076,11.71875,0.2053857774,11.71875,0.1387526562,
3.272401434,0.7676326238,11.81640625,0.141846529,11.81640625,0.2045347244,11.81640625,0.1396807856,
3.299446074,0.7657361153,11.9140625,0.1362870582,11.9140625,0.2042501371,11.9140625,0.1408134173,
3.326490714,0.7638402015,12.01171875,0.1313307599,12.01171875,0.2043922664,12.01171875,0.1419592412,
3.353535354,0.7619448875,12.109375,0.1270109559,12.109375,0.2047735496,12.109375,0.1429166228,
3.380579993,0.7600501783,12.20703125,0.1233430609,12.20703125,0.2051731553,12.20703125,0.143483413,
3.407624633,0.758156079,12.3046875,0.1203236325,12.3046875,0.2053557739,12.3046875,0.1434672171,
3.434669273,0.7562625947,12.40234375,0.1179300924,12.40234375,0.2050918152,12.40234375,0.1426956369,
3.461713913,0.7543697305,12.5,0.116121132,12.5,0.2041764478,12.5,0.1410260613,
3.488758553,0.7524774916,12.59765625,0.1148377777,12.59765625,0.2024455938,12.59765625,0.1383546552,
3.515803193,0.750585883,12.6953125,0.1140050734,12.6953125,0.1997877215,12.6953125,0.1346242693,
3.542847833,0.7486949099,12.79296875,0.1135343441,12.79296875,0.1961508461,12.79296875,0.1298310775,
3.569892473,0.7468045774,12.890625,0.1133260244,12.890625,0.1915445169,12.890625,0.1240298299,
3.596937113,0.7449148906,12.98828125,0.1132730456,12.98828125,0.1860367804,12.98828125,0.1173376766,
3.623981753,0.7430258547,13.0859375,0.1132647718,13.0859375,0.1797462549,13.0859375,0.1099365129,
3.651026393,0.7411374747,13.18359375,0.1131914442,13.18359375,0.1728296445,13.18359375,0.1020735908,
3.678071033,0.739249756,13.28125,0.1129490432,13.28125,0.1654653377,13.28125,0.09405947057,
3.705115673,0.7373627035,13.37890625,0.1124444231,13.37890625,0.1578342732,13.37890625,0.08626079812,
3.732160313,0.7354763225,13.4765625,0.1116005149,13.4765625,0.1501000066,13.4765625,0.07908248339,
3.759204953,0.7335906181,13.57421875,0.110361343,13.57421875,0.1423907643,13.57421875,0.07293044103,
3.786249593,0.7317055955,13.671875,0.1086965543,13.671875,0.1347869099,13.671875,0.06814691067,
3.813294233,0.7298212599,13.76953125,0.1066051008,13.76953125,0.1273172457,13.76953125,0.06492502715,
3.840338873,0.7279376165,13.8671875,0.1041176526,13.8671875,0.119966591,13.8671875,0.06323914927,
3.867383513,0.7260546704,13.96484375,0.1012972152,13.96484375,0.1126952386,13.96484375,0.06284274353,
3.894428152,0.7241724269,14.0625,0.09823731339,14.0625,0.1054688076,14.0625,0.06334898793,
3.921472792,0.7222908912,14.16015625,0.09505699292,14.16015625,0.09829551827,14.16015625,0.06434920991,
3.948517432,0.7204100685,14.2578125,0.09189190608,14.2578125,0.0912672053,14.2578125,0.06551011215,
3.975562072,0.7185299639,14.35546875,0.0888810668,14.35546875,0.08459926608,14.35546875,0.06662457577,
4.002606712,0.7166505827,14.453125,0.08614972567,14.453125,0.07865997335,14.453125,0.0676222805,
4.029651352,0.7147719302,14.55078125,0.08379031523,14.55078125,0.07396693899,14.55078125,0.06855383829,
4.056695992,0.7128940116,14.6484375,0.08184516745,14.6484375,0.07111143673,14.6484375,0.06955695072,
4.083740632,0.7110168322,14.74609375,0.08029569396,14.74609375,0.07058177217,14.74609375,0.07080864155,
4.110785272,0.7091403971,14.84375,0.07906180839,14.84375,0.07254307408,14.84375,0.07246896125,
4.137829912,0.7072647116,14.94140625,0.07801241835,14.94140625,0.07673158634,14.94140625,0.0746272341,
4.164874552,0.705389781,15.0390625,0.07698425734,15.0390625,0.08255204409,15.0390625,0.0772657691,
4.191919192,0.7035156107,15.13671875,0.07580417516,15.13671875,0.08927657836,15.13671875,0.08025172613,
4.218963832,0.7016422057,15.234375,0.0743101546,15.234375,0.09620184758,15.234375,0.08335645704,
4.246008472,0.6997695716,15.33203125,0.07236805564,15.33203125,0.1027229026,15.33203125,0.08629154333,
4.273053112,0.6978977134,15.4296875,0.06988307054,15.4296875,0.1083524674,15.4296875,0.0887485136,
4.300097752,0.6960266366,15.52734375,0.06680623851,15.52734375,0.1127183089,15.52734375,0.090433511,
4.327142392,0.6941563465,15.625,0.06313697589,15.625,0.1155554324,15.625,0.0910937451,
4.354187032,0.6922868483,15.72265625,0.05892267906,15.72265625,0.1166985759,15.72265625,0.09053612348,
4.381231672,0.6904181474,15.8203125,0.05425634083,15.8203125,0.1160757402,15.8203125,0.08863978548,
4.408276312,0.6885502491,15.91796875,0.0492729495,15.91796875,0.1137021738,15.91796875,0.08536438721,
4.435320951,0.6866831587,16.015625,0.04414521559,16.015625,0.1096742119,16.015625,0.08075583911,
4.462365591,0.6848168817,16.11328125,0.0390786943,16.11328125,0.1041627299,16.11328125,0.07495127988,
4.489410231,0.6829514233,16.2109375,0.03430511605,16.2109375,0.09740641887,16.2109375,0.06818561633,
4.516454871,0.6810867889,16.30859375,0.03006980501,16.30859375,0.08970551296,16.30859375,0.0608029669,
4.543499511,0.679222984,16.40625,0.02660432481,16.40625,0.08141692442,16.40625,0.05327690271,
4.570544151,0.6773600137,16.50390625,0.02407450961,16.50390625,0.07295164985,16.50390625,0.04623843539,
4.597588791,0.6754978837,16.6015625,0.02251287239,16.6015625,0.06477385574,16.6015625,0.04048242537,
4.624633431,0.6736365992,16.69921875,0.02178447267,16.69921875,0.05739585279,16.69921875,0.03684555178,
4.651678071,0.6717761656,16.796875,0.02163623465,16.796875,0.05135089553,16.796875,0.03582013516,
4.678722711,0.6699165884,16.89453125,0.02180312799,16.89453125,0.04711095699,16.89453125,0.03713134359,
4.705767351,0.6680578729,16.9921875,0.02209523538,16.9921875,0.04493510305,16.9921875,0.03985936214,
4.732811991,0.6662000247,17.08984375,0.02243064643,17.08984375,0.04472999057,17.08984375,0.04297540504,
4.759856631,0.6643430491,17.1875,0.02282649477,17.1875,0.04607314858,17.1875,0.04567656839,
4.786901271,0.6624869515,17.28515625,0.02336673643,17.28515625,0.04840545562,17.28515625,0.04743274275,
4.813945911,0.6606317375,17.3828125,0.02415685814,17.3828125,0.05122429894,17.3828125,0.04793595191,
4.840990551,0.6587774125,17.48046875,0.02527527275,17.48046875,0.05416827382,17.48046875,0.04705240262,
4.868035191,0.656923982,17.578125,0.02673678703,17.578125,0.0570150428,17.578125,0.04479739467,
4.895079831,0.6550714514,17.67578125,0.02848175897,17.67578125,0.05964581557,17.67578125,0.04133406695,
4.922124471,0.6532198262,17.7734375,0.03039094131,17.7734375,0.06200675399,17.7734375,0.03700168307,
4.94916911,0.651369112,17.87109375,0.03231327718,17.87109375,0.06407743336,17.87109375,0.0323898497,
4.97621375,0.6495193142,17.96875,0.03409316827,17.96875,0.06584825273,17.96875,0.02846269552,
5.00325839,0.6476704383,18.06640625,0.03559074819,18.06640625,0.0673063427,18.06640625,0.0265717099,
5.03030303,0.6458224899,18.1640625,0.03669471797,18.1640625,0.06842885169,18.1640625,0.02784207092,
5.05734767,0.6439754746,18.26171875,0.03732953972,18.26171875,0.06918208773,18.26171875,0.03216881293,
5.08439231,0.6421293977,18.359375,0.0374587155,18.359375,0.06952468886,18.359375,0.03845842265,
5.11143695,0.640284265,18.45703125,0.03708517896,18.45703125,0.06941293408,18.45703125,0.04560122494,
5.13848159,0.638440082,18.5546875,0.03624920961,18.5546875,0.0688065574,18.5546875,0.05281252132,
5.16552623,0.6365968541,18.65234375,0.035023855,18.65234375,0.06767392274,18.65234375,0.05957088846,
5.19257087,0.6347545871,18.75,0.03350756837,18.75,0.06599602129,18.75,0.06552462194,
5.21961551,0.6329132865,18.84765625,0.03181364425,18.84765625,0.06376934321,18.84765625,0.07043668912,
5.24666015,0.6310729579,18.9453125,0.03005623412,18.9453125,0.06100818867,18.9453125,0.07415624499,
5.27370479,0.6292336069,19.04296875,0.02833358443,19.04296875,0.05774741703,19.04296875,0.07660289039,
5.30074943,0.6273952392,19.140625,0.02671089553,19.140625,0.05404703503,19.140625,0.07775621303,
5.32779407,0.6255578603,19.23828125,0.02520732229,19.23828125,0.05000046442,19.23828125,0.07764715756,
5.35483871,0.6237214759,19.3359375,0.02379236803,19.3359375,0.04574879936,19.3359375,0.07634982054,
5.38188335,0.6218860917,19.43359375,0.02239443272,19.43359375,0.04150334882,19.43359375,0.07397332505,
5.40892799,0.6200517133,19.53125,0.02091924342,19.53125,0.03757578255,19.53125,0.07065402687,
5.43597263,0.6182183464,19.62890625,0.01927189259,19.62890625,0.03440170142,19.62890625,0.06654868835,
5.463017269,0.6163859967,19.7265625,0.01737605518,19.7265625,0.03250927381,19.7265625,0.06182954275,
5.490061909,0.6145546699,19.82421875,0.01518682518,19.82421875,0.03235964438,19.82421875,0.05668241488,
5.517106549,0.6127243716,19.921875,0.012696753,19.921875,0.03409624491,19.921875,0.05130925777,
5.544151189,0.6108951076,20.01953125,0.009936443208,20.01953125,0.03744630561,20.01953125,0.045936429,
5.571195829,0.6090668837,20.1171875,0.006971722604,20.1171875,0.04188780447,20.1171875,0.04082896748,
5.598240469,0.6072397055,20.21484375,0.003901374852,20.21484375,0.04686759601,20.21484375,0.03630650417,
5.625285109,0.6054135788,20.3125,0.0009291978835,20.3125,0.05190502168,20.3125,0.03274302435,
5.652329749,0.6035885093,20.41015625,0.00223478023,20.41015625,0.05660649362,20.41015625,0.03051065027,
5.679374389,0.6017645029,20.5078125,0.004912468076,20.5078125,0.06065270811,20.5078125,0.0298361895,
5.706419029,0.5999415653,20.60546875,0.007236823902,20.60546875,0.06378646654,20.60546875,0.03064669918,
5.733463669,0.5981197023,20.703125,0.009080094048,20.703125,0.0658067955,20.703125,0.03257126537,
5.760508309,0.5962989197,20.80078125,0.01035124754,20.80078125,0.06656808919,20.80078125,0.03510509828,
5.787552949,0.5944792233,20.8984375,0.01098943939,20.8984375,0.06598199833,20.8984375,0.03776590341,
5.814597589,0.592660619,20.99609375,0.003272683922,20.99609375,0.01910192727,20.99609375,0.01198174551,
5.841642229,0.5908431125,21.09375,0.003028452839,21.09375,0.01784890523,21.09375,0.01233769065,
5.868686869,0.5890267099,21.19140625,0.002621276064,21.19140625,0.01626604849,21.19140625,0.01244301011,
5.895731509,0.5872114168,21.2890625,0.002095992735,21.2890625,0.01441680607,21.2890625,0.01225974626,
5.922776149,0.5853972392,21.38671875,0.001534279533,21.38671875,0.01238109878,21.38671875,0.0117688049,
5.949820789,0.583584183,21.484375,0.001123530108,21.484375,0.01025621389,21.484375,0.01096799733,
5.976865428,0.581772254,21.58203125,0.001185975287,21.58203125,0.008162054491,21.58203125,0.009870637599,
6.003910068,0.5799614583,21.6796875,0.001671156181,21.6796875,0.006257075965,21.6796875,0.008504225365,
6.030954708,0.5781518016,21.77734375,0.002268624761,21.77734375,0.004771362369,21.77734375,0.006908958728,
6.057999348,0.57634329,21.875,0.002824641151,21.875,0.00400201395,21.875,0.005136045413,
6.085043988,0.5745359294,21.97265625,0.003270749644,21.97265625,0.004049627383,21.97265625,0.003246375702,
6.112088628,0.5727297258,22.0703125,0.003570804509,22.0703125,0.004568612073,22.0703125,0.001317193313,
6.139133268,0.5709246851,22.16796875,0.003708495985,22.16796875,0.005138867296,22.16796875,0.0007159771533,
6.166177908,0.5691208134,22.265625,0.003686070826,22.265625,0.005523143319,22.265625,0.002524472517,
6.193222548,0.5673181166,22.36328125,0.003527349615,22.36328125,0.005617603078,22.36328125,0.004226445902,
6.220267188,0.5655166007,22.4609375,0.003284277771,22.4609375,0.00538802992,22.4609375,0.005727923055,
6.247311828,0.5637162718,22.55859375,0.003045791801,22.55859375,0.004840081874,22.55859375,0.006975574943,
6.274356468,0.561917136,22.65625,0.002936322246,22.65625,0.004006284745,22.65625,0.007928973065,
6.301401108,0.5601191992,22.75390625,0.003070343943,22.75390625,0.002940444477,22.75390625,0.00856055751,
6.328445748,0.5583224676,22.8515625,0.003471499248,22.8515625,0.001722743065,22.8515625,0.00885644335,
6.355490388,0.5565269473,22.94921875,0.004063203294,22.94921875,0.0006158165912,22.94921875,0.008816830308,
6.382535028,0.5547326442,23.046875,0.004736901162,23.046875,0.001248702802,23.046875,0.008455825979,
6.409579668,0.5529395647,23.14453125,0.005397726252,23.14453125,0.002522810511,23.14453125,0.007800659153,
6.436624308,0.5511477147,23.2421875,0.005972517111,23.2421875,0.003724420265,23.2421875,0.006890323269,
6.463668948,0.5493571004,23.33984375,0.006406619615,23.33984375,0.004751848249,23.33984375,0.0057737424,
6.490713587,0.547567728,23.4375,0.006660799416,23.4375,0.005544060046,23.4375,0.004507640571,
6.517758227,0.5457796037,23.53515625,0.006709640139,23.53515625,0.006057979379,23.53515625,0.003154613883,
6.544802867,0.5439927336,23.6328125,0.006540775758,23.6328125,0.006267027559,23.6328125,0.001784201352,
6.571847507,0.5422071239,23.73046875,0.006154342137,23.73046875,0.006161438989,23.73046875,0.00053249248,
6.598892147,0.5404227809,23.828125,0.005562290584,23.828125,0.00574829545,23.828125,0.0009291464254,
6.625936787,0.5386397108,23.92578125,0.004787392847,23.92578125,0.005050912737,23.92578125,0.002002066143,
6.652981427,0.5368579198,24.0234375,0.003861890075,24.0234375,0.004107594307,24.0234375,0.002913966027,
6.680026067,0.5350774142,24.12109375,0.002825855292,24.12109375,0.002970153212,24.12109375,0.003608576078,
6.707070707,0.5332982002,24.21875,0.001725703326,24.21875,0.001704900902,24.21875,0.004060335165,
6.734115347,0.5315202843,24.31640625,0.0006187134676,24.31640625,0.0004625004217,24.31640625,0.004258429544,
6.761159987,0.5297436726,24.4140625,0.0005137433569,24.4140625,0.001076928084,24.4140625,0.004205048372,
6.788204627,0.5279683715,24.51171875,0.001505011535,24.51171875,0.002327657763,24.51171875,0.003914503307,
6.815249267,0.5261943873,24.609375,0.002385619279,24.609375,0.003463972224,24.609375,0.003412086216,
6.842293907,0.5244217264,24.70703125,0.003106409565,24.70703125,0.004411679078,24.70703125,0.002732524484,
6.869338547,0.5226503952,24.8046875,0.003636424479,24.8046875,0.005120429785,24.8046875,0.00191809983,
6.896383187,0.5208804001,24.90234375,0.003954969129,24.90234375,0.005554447837,24.90234375,0.001016823773,
6.923427827,0.5191117474,25,0.004051868045,25,0.005692855559,25,0.0001059322768,
6.950472467,0.5173444436,25.09765625,0.003927762957,25.09765625,0.00553031722,25.09765625,0.000857052304,
6.977517107,0.5155784951,25.1953125,0.003593980874,25.1953125,0.005077111558,25.1953125,0.001721804475,
7.004561746,0.5138139084,25.29296875,0.003071926598,25.29296875,0.004358485421,25.29296875,0.002483093849,
7.031606386,0.5120506899,25.390625,0.002392081422,25.390625,0.003413322289,25.390625,0.003102899424,
7.058651026,0.5102888463,25.48828125,0.001593009875,25.48828125,0.002292383526,25.48828125,0.003552157789,
7.085695666,0.5085283838,25.5859375,0.0007242767485,25.5859375,0.001058318946,25.5859375,0.003811382406,
7.112740306,0.5067693092,25.68359375,0.0002723172039,25.68359375,0.0002950288311,25.68359375,0.003871338971,
7.139784946,0.5050116289,25.78125,0.001120513666,25.78125,0.001536206587,25.78125,0.00373328893,
